term,definition,explanation
Ace,一人で敵５人全員をキルすること,Clutch ACEは一人対複数の状態ACEを取ること。Pistol ACEはピストルでACEを取ること。
ADS,エイムダウンサイト,照準をのぞき込むこと。対義語:腰撃ち(hip shooting)
Aimpunch,撃たれた時に視点が左右にブレること,アーマーで防止することができる。
Anchor,守りの際に特定の場所に留まり敵のエリアへの侵入を防ぐプレイヤー,綱引きで一番後ろにいる屈強で体重が思い選手のことをそう呼ぶようになった。その後リレーの最終走者を指す意味になる。CS では一番最後にエントリーする人。
Anti-Eco,相手がエコをしているラウンド,相手の武器が弱いので距離を取って戦ったり数で攻めることが多い。
Anti-strat,チームが相手の戦略を理解し、相手の行動を予測して行動すること。,Anti-strategy（戦略対抗）の略。
Auto,SCAR-20などの自動狙撃銃のこと,スキルなしでも使えるとみなされていることから使うと初心者扱いされてしまったりする。
Bait,見方をおとりとして敵をおびき寄せる戦術,「エサ」という意味。ベイトを行うプレイヤーのことを「baiter（ベイター）」と呼ぶ。
Backstab,敵の背後から不意をついた攻撃をすること,back が後ろ、stabが刺すと言う意味の単語。主にナイフキルされた時に使う言葉。
Bhop,ストレイフなどにより通常より速くマップを移動すること,bunny hopの略でウサギのようにジャンプして加速する技。
Bonus Round,ラウンド1とラウンド2で勝ったチームが弱い武器で挑むラウンド,1ラウンドで勝って2ラウンドでピストルより強い武器で勝利した後の3ラウンド目のこと。敵がアサルトライフルなどを持っていても勝てば敵のお金がなくなる。負けても3ラウンド目は2ラウンド目の武器を使用したので4ラウンド目のためのお金があるのでボーナスラウンドと呼ぶ。
Bomb,爆弾のこと,テロリストチーム側が設置する。
Boost,チームメイトを高い場所に乗せること,自分の上に乗ってもらって普通は乗ることができない高所に登る行為。
Callout,マップ上の特定の場所を指す用語,仲間に敵の場所を説明したいときに「そこの上！」なんて言っても分からないので、名前で伝えよう。
Camper,マップ上の同じ場所に長時間居座る人,全く動かず敵が来るのを待っているいわゆる芋行為。
Carry,特定の上手いプレイヤーがチームを引っ張ること,キャリーする人は多くのキルを取ったり、重要なラウンドで活躍する。
Clearing,敵が潜んでいる可能性のある場所を確認していくこと,自分が進む場所の安全確認。行わないと奇襲を仕掛けられたりするので要注意。
Clutch,人数不利な厳しい状況から勝利を収めること,元々「つかむ」などの意味。バスケでは大事な局面で点を決める選手をクラッチシューターと呼んだりする。
Collateral,1発の弾丸で敵を複数倒すこと,敵が一直線上にいる時は弾丸が貫通して一発で複数倒せることがある。
Crabwalk,ピストルやナイフを持ちながらしゃがんで移動すること,直訳でカニ歩き。武器を掴んでしゃがんで移動する姿から。
Crossfire,別方向 (二方向) から攻撃すること,簡単にいうと挟み撃ちにすること。
CT,防衛側のチームあるいは防衛側のチームがスポーンする方向の位置,Counter-Terrorist（対テロリスト）の略。
Cubby,狭い場所や隠れられるスペースのこと,通常は1人のプレイヤーが隠れるのに適した広さのところ。
Deagle,武器のデザートイーグルのこと,Desert Eagleの略。強いピストルだが反動が大きいので扱いづらい。
Default,基本的な攻めや守りの戦略,大抵の場合はマップ全体に広がり情報を取得したりして、敵の出方を見て作戦を決める。
Defuse,設置した爆弾を解除すること,Fake Defuse は解除したフリをすること。Ninja Defuseは敵がまだ生きている中隠れて解除すること。
Dink,ヘッドショットを当てること,実際にゲーム内で聞こえる「金属音（Dink!）」から来ている。
Dry peek,フラッシュバンやスモークを使わずに遮蔽物から姿を出すこと,普通はフラッシュなどを使ってピークするので意表を突いてキルを取れるが、逆にリスクも伴う。
Economy,チーム内の資金管理のこと,チームやプレイヤー個人の装備品購入資金管理状況は中盤以降になると勝敗にも大きく関わる。
Fake,敵をだますこと,具体的にはわざと本命のサイトとは違うサイトにスモークを使い、攻めるフリをしたりすること。
FF,チームメイトにダメージを与える行為,Friendly Fireの略。
Flank,敵の背後などに回り込んで攻撃すること、裏取り,敵が予想しない方向からの奇襲なので、上手く使えれば有利になる。
Flash,敵を一時的に目を見えなくする閃光,味方も喰らうので、間違えて味方に喰らわせてしまわないように気をつけよう。
Flick,敵に素早く照準を合わせキルすること,敵にクロスヘアが向いていない状態から一瞬でエイムを合わせる高度な技術。主にAWPで使われる。
Force Buy,持ち金全てを使えるだけ使って装備を整えること,敵のマッチポイントなどで後がない時などに行う。
Frag,敵を倒すこと,敵に殺されたと見せかけるために fragmentation grenade（破砕性手りゅう弾）を使って嫌いな上官を殺害することから転じて、ゲームでは敵を倒すことを意味するようになったらしい。
Full Buy,フル装備で戦うラウンド,良い武器とユーティリティを揃える。対義語:エコラウンド(eco round)
Glass cannon,防具などを買わずに高い武器を買うこと,直訳でガラス製の大砲。火力は高いが壊れやすいことを表す。
Griefing,意図的に他プレイヤーを妨害する行為,迷惑行為。フレンドリーファイアやいわゆる下げランなども該当する。
Half Buy,少しは購入するが次のラウンドのためにお金を残しておくこと,日本語では調整バイと言ったりする。
Heaven,高所の位置,AWP持ちがよく居るところ。視界が広いので敵を見つけて射撃しやすい。
Hell,低所の位置,見える範囲が狭いのでポジション的には弱い。
HlTV,カウンターストライクの大会やチーム、選手情報の掲載などがあるサイト,とりあえずこのサイトを見れば大体のことは分かる。ただし全部英語。
Jiggle Peek,揺れるように素早く左右に動きながらピークすること,Jiggleが「揺れる」という意味。
Legged,スナイパーライフルで脚を撃たれること,通常AWPで敵の足を撃ったが、倒しきれていない状態のことを言う。
Lit,ダメージを受けた状態,後にダメージ数をつけて敵にどれだけダメージを与えたか仲間に伝える。
Lurk,他のチームメイト(本隊)から離れて隠れ、単独で行動すること,英単語自体は「潜む」という意味。
Molly,燃えるエリアを作るグレネード,燃える地面。踏んだらダメージをくらう。
NA,弱いこと、戦術が優れていないこと,North America の略。北アメリカ地域のプレイヤーはEU地域のプレイヤーに比べ劣っていたり、頭脳戦がイマイチなことから。NA smoke で下手なスモークを意味するなど他単語と組み合わせて使われる。
Nade,グレネードのこと,「Grenade（グレネード）」の略。
One-tap,一発でキルすること、あるいは一発でキルされるくらい瀕死のプレイヤーやその状態のこと,tapが「軽く叩く」という意味。
One-way,投げた側だけが視認できるスモーク,敵を一方的に攻撃できるため、有利
OP,非常に強いこと,Over Poweredの略。
Open plant,敵から視認されやすい位置に爆弾を設置すること,通常は設置後の守備（ポストプラント）のために行われる。敵が爆弾を解除しようとしても、オープンな場所にあるため敵の姿を目視し射撃、阻止しやすい。
Peek,遮蔽物から姿を出すこと,Double PeekやJiggle Peekなど種類も多くある。
Pick,敵を一人キルする、または最初にキルすること,Entry Pickでサイトに入るときにキルをすること。
Ping,特定の場所を指示するためのマークあるいはネットワーク通信の応答速度を表す数値,どちらの意味かは文脈で判断するしかないかも。
Pop-flash,閃光で敵に反応する時間を与えずに視界を奪うこと,これをやられると敵は違う方向を見てフラッシュを避けることができないので有利。
Pre-fire,敵がいる可能性のある場所を敵が視界に入る前に撃つこと,敵が見えた瞬間には既に射撃している状態なので強い。
Push,攻めること,英単語自体の一般的な意味の「押す」というイメージで覚えやすいかも。
Rekt,敵を圧倒すること,「wrecked（破壊される、完敗する）」の略。
Retake,攻撃側が爆弾を設置した後、守備側がサイトを奪い返すこと,爆弾が爆発するまでに敵をキルし爆弾解除まですることを目標としている。
Rotate,別のサイトに移動すること,日本語ではローテするというがその元の単語。
Rush,攻撃側がエリアに素早く突入するすること,単語自体は「急ぐ」という意味。敵に対応する余裕を与えないので意表をつける。
Safe plant,物などで隠れた場所に爆弾を設置すること,敵がどこからやってくるか分からない時は安全性を重視してカバーを取りつつ設置する。対義語: Open plant
Save,次のラウンドのために武器を保持すること,ほぼ負けが確定したラウンドでAWP（値段が高いスナイパー）を持っているプレイヤーなどがよくやる。サイトから離れ、できる限りキルされないように立ち回ること。
Smoke,視界を遮るための煙,スモークグレネードのこと。敵味方ともにスモークの中や奥を見ることができない。持続時間は15秒。
Split-push,攻撃側チームを2つ以上に分けて、同時に異なるルートからサイトへ攻撃すること,Split 「分割する」とPush「攻める」の組み合わせの単語。
Spray Control,連射時のリコイルを制御すること,sprayが「連射する」という意味。
Stack,複数のプレイヤーが同じ場所に留まること,「積む」という意味。プレイヤーを積む＝複数人で一定の箇所に居る というイメージで覚えやすいかも。
Swing,遮蔽物から姿を出すこと、あるいは遮蔽物から大きく姿を出すこと,peekと同じ意味で使われたり、遮蔽物から大きく姿を出す（wide peek）の意味で使われたりする。
T,攻撃側のチームあるいは攻撃側のチームがスポーンする方向の位置,Terrorist（テロリスト）の略。
TK,味方のプレイヤーを誤ってキルしてしまうこと,Team Kill（チームキル）の略。
Trade,味方が敵にキルされた直後に、その敵をキルすること,人数不利にならないようにする重要な戦術。
Utility,スモークグレネードやフラッシュバンなどの装備品のこと,略してutilと言うことが多い。
VAC,Counter-Strikeを作った会社のアンチチートシステム,「Valve Anti Cheat」の略。チートでBANされること。「Enjoy your VACation (vacation/休日)」などと言ってチーターを揶揄ったりする。
Wallbang,壁を通して敵を撃つこと,壁の材質によって喰らうダメージも異なる。
Whiff,有利な状況で銃弾を外してしまうこと,風・煙などのひと吹きを現す単語。ゴルフや野球では空振りを意味する。